person,BIStotal,attentional_imp,motor_imp,nonplan_imp,procrastination,extraversion,agreeableness,conscientiousness,negative_emo,open_mindedness,site,n_pc,pre_crastinate,bead_colour,n_beads
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aberdeen,0,no,black,3
4,1.8,1.75,1.7272727272727273,1.9090909090909092,3.75,2.8181818181818183,3.75,3.6666666666666665,2.0833333333333335,4.083333333333333,Aberdeen,0,no,black,1
5,2.1333333333333333,2.375,1.7272727272727273,2.3636363636363638,2.2,3.909090909090909,3.1666666666666665,4.083333333333333,4.083333333333333,3.25,Aberdeen,6,yes,orange,1
6,2.1333333333333333,2.125,1.8181818181818181,2.4545454545454546,2.95,3.272727272727273,3.1666666666666665,3.3333333333333335,3.4166666666666665,3.75,Aberdeen,6,yes,black,6
7,2.466666666666667,2.25,2.8181818181818183,2.272727272727273,2.85,3.909090909090909,3.75,3.8333333333333335,2.9166666666666665,4,Aberdeen,6,yes,black,1
8,1.9,1.875,1.5454545454545454,2.272727272727273,2.2,3.5454545454545454,4.583333333333333,4.166666666666667,3.0833333333333335,4,Aberdeen,6,yes,black,1
10,1.9,1.75,1.9090909090909092,2,3,3.090909090909091,4,3.1666666666666665,2.75,4.416666666666667,Aberdeen,6,yes,black,1
11,NA,2.625,NA,2.6363636363636362,3,2.6363636363636362,2.3333333333333335,3.5,2.6666666666666665,3.5833333333333335,Aberdeen,6,yes,black,1
12,2.1,2.25,2.3636363636363638,1.7272727272727273,3.05,3.909090909090909,3.6666666666666665,3.4166666666666665,1.75,4.166666666666667,Aberdeen,1,no,orange,1
13,2.9,3.125,3.1818181818181817,2.4545454545454546,3.75,4,3.1666666666666665,2.5,3.5833333333333335,4.916666666666667,Aberdeen,0,no,black,7
14,1.9333333333333333,2.25,2,1.6363636363636365,3.35,3.909090909090909,4.666666666666667,3,3,4.333333333333333,Aberdeen,1,no,black,3
15,1.7666666666666666,1.375,1.9090909090909092,1.9090909090909092,1.75,4.545454545454546,4,4.333333333333333,2.8333333333333335,3.6666666666666665,Aberdeen,1,no,orange,2
17,1.7666666666666666,1.75,1.8181818181818181,1.7272727272727273,1.7,4.2727272727272725,4.5,4.666666666666667,2.25,4.583333333333333,Aberdeen,1,no,orange,1
18,2.3666666666666667,2.25,2.3636363636363638,2.4545454545454546,2.7,3.1818181818181817,4.25,2.9166666666666665,2.8333333333333335,4.5,Aberdeen,1,no,orange,2
19,2.3,2.125,2,2.727272727272727,3.2,3.090909090909091,4.083333333333333,3.3333333333333335,2.9166666666666665,3.8333333333333335,Aberdeen,6,yes,black,1
20,2.6,2.375,2.6363636363636362,2.727272727272727,3.6,3.8181818181818183,3.8333333333333335,2.5833333333333335,4.5,4.833333333333333,Aberdeen,2,intermediate,orange,1
21,2.1333333333333333,2.625,1.9090909090909092,2,3.9,2.909090909090909,4.166666666666667,2.5833333333333335,2.75,4.5,Aberdeen,0,no,black,3
23,1.9666666666666666,2,2.090909090909091,1.8181818181818181,2.5,3.1818181818181817,4.5,4.916666666666667,2.5833333333333335,3.5,Aberdeen,0,no,black,1
24,2,1.875,1.8181818181818181,2.272727272727273,3.05,3.272727272727273,4.083333333333333,3.1666666666666665,2.6666666666666665,4.666666666666667,Aberdeen,1,no,orange,1
26,2.6666666666666665,2.875,2.909090909090909,2.272727272727273,1.9,3.909090909090909,4,3.6666666666666665,4.166666666666667,4.666666666666667,Aberdeen,6,yes,orange,2
27,1.9666666666666666,2.375,1.5454545454545454,2.090909090909091,3.6,1.9090909090909092,4,3.1666666666666665,3.6666666666666665,4,Aberdeen,0,no,black,1
28,1.8666666666666667,2,2,1.6363636363636365,2.3,4,4.083333333333333,3.3333333333333335,3.8333333333333335,3.25,Aberdeen,0,no,orange,3
29,2.3333333333333335,2.125,2.272727272727273,2.5454545454545454,2.85,4.2727272727272725,2.6666666666666665,2.75,3,4.75,Aberdeen,4,yes,orange,3
30,1.5,2.25,1.2727272727272727,1.1818181818181819,4.75,3.1818181818181817,4,3.3333333333333335,3.75,4.5,Aberdeen,0,no,black,2
31,2.2666666666666666,3,1.7272727272727273,2.272727272727273,4.2,3,3.8333333333333335,2.1666666666666665,3.75,4.666666666666667,Aberdeen,0,no,black,1
32,2.1333333333333333,2.375,2.090909090909091,2,4.3,3,3.8333333333333335,3.0833333333333335,4.083333333333333,4.416666666666667,Aberdeen,0,no,orange,1
34,2.1666666666666665,2.125,1.9090909090909092,2.4545454545454546,3,3.727272727272727,3.9166666666666665,3.25,3.25,3.75,Aberdeen,0,no,black,1
35,2.6,2.75,2.8181818181818183,2.272727272727273,3.3,3.4545454545454546,4.25,2.8333333333333335,4.583333333333333,4.25,Aberdeen,6,yes,black,3
36,1.5666666666666667,1.375,1.4545454545454546,1.8181818181818181,3.45,3.909090909090909,4.25,4.25,2.5,4.166666666666667,NA,NA,NA,orange,3
