person,bead_colour,n_beads,Duration_in_Seconds,Vsearch_YesNo,Vsearch_Strategy,Bucket_YesNo,Bucket_Strategy,Gender,Ethnicity,Age,Height,Weight,Occupation,AreaOfStudy,Education,VidGame_YesNo,VidGame_Type,VidGame_Time,Sports_YesNo,Sports_Type,Sports_Time,Hobbies_YesNo,Hobbies_Type,Hobbies_Time,MentIll_YesNo,MentIll_Type,BFI2_01,BFI2_02,BFI2_03,BFI2_04,BFI2_05,BFI2_06,BFI2_07,BFI2_08,BFI2_09,BFI2_10,BFI2_11,BFI2_12,BFI2_13,BFI2_14,BFI2_15,BFI2_16,BFI2_17,BFI2_18,BFI2_19,BFI2_20,BFI2_21,BFI2_22,BFI2_23,BFI2_24,BFI2_25,BFI2_26,BFI2_27,BFI2_28,BFI2_29,BFI2_30,BFI2_31,BFI2_32,BFI2_33,BFI2_34,BFI2_35,BFI2_36,BFI2_37,BFI2_38,BFI2_39,BFI2_40,BFI2_41,BFI2_42,BFI2_43,BFI2_44,BFI2_45,BFI2_46,BFI2_47,BFI2_48,BFI2_49,BFI2_50,BFI2_51,BFI2_52,BFI2_53,BFI2_54,BFI2_55,BFI2_56,BFI2_57,BFI2_58,BFI2_59,BFI2_60,ProScale_01,ProScale_02,ProScale_03,ProScale_04,ProScale_05,ProScale_06,ProScale_07,ProScale_08,ProScale_09,ProScale_10,ProScale_11,ProScale_12,ProScale_13,ProScale_14,ProScale_15,ProScale_16,ProScale_17,ProScale_18,ProScale_19,ProScale_20,BIS11_01,BIS11_02,BIS11_03,BIS11_04,BIS11_05,BIS11_06,BIS11_07,BIS11_08,BIS11_09,BIS11_10,BIS11_11,BIS11_12,BIS11_13,BIS11_14,BIS11_15,BIS11_16,BIS11_17,BIS11_18,BIS11_19,BIS11_20,BIS11_21,BIS11_22,BIS11_23,BIS11_24,BIS11_25,BIS11_26,BIS11_27,BIS11_28,BIS11_29,BIS11_30
1,black,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,black,1,1381,0,"Looking first at section where lines went the same way, then tried to glaze eyes over to find it rather than looking at individual lines. I would sometimes look down the lines to see if that was faster.",1,Picked up the furthest bucket first so I wouldn't have to carry them as long.,Female,White,21,5.6,56kg,Student,English Literature with Creative Writing,High school graduate,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,4,5,2,3,1,2,4,4,3,4,2,2,5,2,3,2,1,5,2,5,4,1,5,4,3,4,4,2,5,2,4,3,5,3,4,4,2,2,2,4,3,4,4,5,1,3,4,1,2,2,4,5,2,1,2,3,2,1,1,4,4,5,4,1,4,2,5,1,5,4,2,5,4,2,1,1,1,4,4,2,4,2,2,2,3,2,4,4,3,3,1,3,4,2,1,2,2,3,1,3,2,1,2,1,1,2,2,1,3,3
5,orange,1,1113,0,"Started looking at the busy/random lines) side at first. Eventually, I realised that sometimes I could find the correct line in the other side. Thus, eventually I started looking at the side with similar lines and moved to the random side if I couldn't find it.",0,No strategy,female,Dutch,23,1.74,67,student,business and IR,college,0,NA,NA,1,gym,4,1,hanging out with friends,10,0,NA,4,4,2,1,1,4,4,2,2,4,2,3,4,4,4,2,2,4,4,4,5,5,2,3,4,2,3,2,2,4,2,4,4,5,4,4,4,4,4,5,4,3,5,2,3,4,3,2,2,4,2,4,4,4,5,4,3,2,4,3,2,2,5,3,1,5,3,4,2,1,2,3,4,3,5,2,2,2,2,3,3,1,2,1,1,4,3,4,3,1,2,3,3,4,3,2,1,1,1,2,2,1,2,2,4,3,2,2,1,3
6,black,6,981,0,"I would just look around for a bit, see if I saw it and then answer.",0,The first time I picked them up by the rim and the rest of the time I used the handle. I may have switched hands at one point as well.,Female,Mixed Race,21,5ft 1 (ish),NA,Student,English and Scottish Literature,University,0,NA,NA,0,NA,NA,1,"Drawing, painting and reading",one or two,0,NA,4,5,3,2,2,4,4,4,3,3,3,4,4,4,3,3,2,4,3,4,4,3,4,4,2,3,2,2,3,2,3,4,3,4,4,3,4,4,4,4,2,4,4,3,1,4,2,4,2,2,3,4,4,3,3,3,2,2,4,3,4,1,2,2,3,4,2,4,4,2,3,3,4,2,3,2,2,2,4,2,3,1,2,1,2,2,4,3,2,2,1,3,2,2,1,2,1,2,1,2,2,2,3,1,2,3,4,2,3,2
7,black,1,624,1,"Basically, in homogeneous field it just popped at me, meanwhile in heterogenous I was trying to go row by row, but sometimes I just looked at it at peripherally saw the line or lines that were similar to it.",1,"Although, inefficient I went for the first bucket and then the second one. It would be much more efficient to go for the second one, further away and then on my way back pick the first one.",Female,Slovak,21,165,x,Student,Psychology,High school,1,Race cars,1,1,"Swimming, weightlifting",3,1,"playing guitar, singing, yoga",4,0,NA,5,5,1,4,5,3,4,4,4,5,5,3,3,3,5,2,2,4,3,5,5,3,3,2,1,2,4,3,4,1,4,4,4,3,4,2,3,5,3,4,4,3,5,3,3,5,2,1,3,3,1,4,4,4,3,5,4,3,3,5,4,1,3,2,1,4,1,4,3,2,3,4,4,1,4,4,4,3,4,3,4,4,4,4,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,1,3,1,2,3,3,3,2,3,2
8,black,1,941,0,NA,1,I went for the closest bucket every time and then I put it in the same location each time. I done it that way because It seemed logical.,male,British,24,"5ft 10""",77kg,Ecommerce,Psychology,university,0,NA,NA,0,NA,NA,1,"Gym, Reading",10,0,NA,4,5,2,3,2,1,4,1,4,5,1,3,5,4,3,2,1,4,3,4,2,1,2,4,1,2,5,2,2,2,4,4,4,4,4,2,1,4,2,5,5,1,4,3,2,4,1,1,2,3,3,5,4,2,2,5,4,3,4,3,2,1,4,4,2,4,2,3,2,2,2,2,4,3,3,2,2,4,2,4,3,2,2,3,2,2,1,3,3,3,2,3,3,1,3,1,1,1,1,3,1,1,2,1,1,2,3,2,1,3
10,black,1,807,0,I tried to group the different angles together (left v right angles),1,I picked the first one up with my left hand and the other with my right. Carrying them both,Male,White British,23,6'0,12.5 stones,Retail,English,4th year undergraduate degree,0,NA,NA,0,NA,NA,1,"Hiking, Reading, Writing",15+,0,NA,4,4,4,4,1,2,4,2,5,5,1,2,4,2,4,5,1,4,4,5,2,2,4,4,1,2,4,4,4,1,5,4,4,2,5,2,4,2,4,5,4,2,4,4,2,2,1,2,2,1,4,4,4,4,5,4,4,4,4,4,3,2,1,4,1,5,4,2,4,2,4,4,5,4,4,5,5,3,4,2,3,1,2,3,2,2,3,3,2,1,1,4,3,1,4,1,3,2,2,3,1,3,2,1,1,2,2,1,2,3
11,black,1,1082,1,Followed lines in the harder orientation downwards to see if there was any variation that the computer asked for was present,1,"If the buckets were lighter than I thought then I would pick it up with only one hand, and if heavier with two",Male,British,19,5'9,NA,Unemployed,Psychology,advanced higher,1,FPS,50,0,NA,NA,1,Music,50 w/ games,1,"High Functioning Autism, Depressive Episodes, Lack of Empathy",2,1,3,4,2,3,3,5,4,5,1,4,4,4,5,5,5,5,4,2,2,2,2,5,1,3,2,4,4,4,5,3,4,1,2,3,4,4,4,4,3,3,4,4,1,1,5,1,3,4,3,3,4,4,2,3,3,4,3,3,4,4,4,1,1,4,4,5,4,4,3,4,5,3,3,3,1,2,5,4,2,3,3,NA,3,4,2,3,2,3,3,2,3,4,3,2,2,2,2,3,2,3,2,1,2,3,3,2,2,1
12,orange,1,1056,0,go over the half that was one way and then the crazy half.,0,"the furthest one first, then snag the remaining one on the way back.",Male,White,19,"5'8""",125lbs,Student,Politics,High School,1,Strategy and Shooter,about 10-15,0,NA,NA,1,"Music, working out",10,1,Diagnosed with ADHD,5,4,4,5,4,5,5,2,5,5,3,4,4,5,5,3,2,4,1,5,5,3,4,5,1,4,5,3,5,2,3,4,4,1,5,2,1,5,2,5,4,3,4,5,2,4,4,2,2,1,2,4,4,1,5,4,3,5,2,4,4,4,2,1,2,5,3,5,4,4,5,3,4,2,3,4,4,5,5,4,2,1,4,4,2,3,4,4,3,3,2,4,2,2,4,1,2,1,2,4,1,3,4,2,2,4,3,2,4,3
13,black,7,1054,1,"scan the side orientated to one side, then scan the side with mixed lines",1,"go for far one, then get other on way back",male,white,21,6ft 3,105kg,student,psychology,3rd year degree,1,rpg,3,1,gym,6,1,music,24,0,NA,4,3,4,5,1,5,4,4,3,4,2,4,4,4,5,2,2,4,5,5,4,5,4,3,1,2,4,4,3,1,2,4,1,4,5,1,4,3,4,5,1,4,4,3,1,4,2,5,2,1,1,4,4,5,1,4,4,5,4,5,2,5,2,1,5,2,4,4,5,2,4,5,4,2,2,5,5,2,4,4,3,4,3,2,4,4,2,3,2,1,4,4,1,3,4,4,4,3,3,4,3,4,1,1,4,4,3,4,4,2
